"filename", "language", "Properties", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Asus\Downloads\BackendFlutterApp\.env", "Properties", 5, 0, 0, 0, 6, 11
"c:\Users\Asus\Downloads\BackendFlutterApp\config\database.js", "JavaScript", 0, 13, 0, 0, 2, 15
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\analyticsController.js", "JavaScript", 0, 196, 0, 19, 15, 230
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\deliveryController.js", "JavaScript", 0, 987, 0, 121, 173, 1281
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\feedbackController.js", "JavaScript", 0, 145, 0, 45, 36, 226
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\foodController.js", "JavaScript", 0, 107, 0, 15, 25, 147
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\notificationController.js", "JavaScript", 0, 145, 0, 18, 32, 195
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\orderController.js", "JavaScript", 0, 399, 0, 67, 74, 540
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\paymentController.js", "JavaScript", 0, 115, 0, 11, 15, 141
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\restaurantController.js", "JavaScript", 0, 131, 0, 20, 31, 182
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\settingsController.js", "JavaScript", 0, 49, 0, 7, 9, 65
"c:\Users\Asus\Downloads\BackendFlutterApp\controllers\userController.js", "JavaScript", 0, 411, 0, 47, 74, 532
"c:\Users\Asus\Downloads\BackendFlutterApp\middleware\auth.js", "JavaScript", 0, 34, 0, 0, 4, 38
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Cart.js", "JavaScript", 0, 8, 0, 0, 4, 12
"c:\Users\Asus\Downloads\BackendFlutterApp\models\ChatConversation.js", "JavaScript", 0, 24, 0, 5, 6, 35
"c:\Users\Asus\Downloads\BackendFlutterApp\models\ChatMessage.js", "JavaScript", 0, 35, 0, 2, 5, 42
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Delivery.js", "JavaScript", 0, 81, 0, 4, 5, 90
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Feedback.js", "JavaScript", 0, 44, 0, 1, 4, 49
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Food.js", "JavaScript", 0, 55, 0, 0, 4, 59
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Notification.js", "JavaScript", 0, 48, 0, 3, 6, 57
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Order.js", "JavaScript", 0, 216, 0, 4, 10, 230
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Payement.js", "JavaScript", 0, 21, 0, 1, 5, 27
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Restaurant.js", "JavaScript", 0, 72, 0, 0, 3, 75
"c:\Users\Asus\Downloads\BackendFlutterApp\models\Settings.js", "JavaScript", 0, 80, 0, 1, 4, 85
"c:\Users\Asus\Downloads\BackendFlutterApp\models\User.js", "JavaScript", 0, 128, 0, 6, 6, 140
"c:\Users\Asus\Downloads\BackendFlutterApp\package-lock.json", "JSON", 0, 0, 2846, 0, 1, 2847
"c:\Users\Asus\Downloads\BackendFlutterApp\package.json", "JSON", 0, 0, 31, 0, 1, 32
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\analyticsRoutes.js", "JavaScript", 0, 7, 0, 2, 4, 13
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\cartRoutes.js", "JavaScript", 0, 46, 0, 1, 10, 57
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\chatRoutes.js", "JavaScript", 0, 384, 0, 58, 77, 519
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\deliveryRoutes.js", "JavaScript", 0, 63, 0, 4, 9, 76
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\feedbackRoutes.js", "JavaScript", 0, 16, 0, 5, 7, 28
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\foodRoutes.js", "JavaScript", 0, 41, 0, 3, 8, 52
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\healthRoutes.js", "JavaScript", 0, 6, 0, 1, 3, 10
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\notificationRoutes.js", "JavaScript", 0, 20, 0, 7, 9, 36
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\orderRoutes.js", "JavaScript", 0, 57, 0, 8, 13, 78
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\paymentRoutes.js", "JavaScript", 0, 21, 0, 1, 4, 26
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\restaurantRoutes.js", "JavaScript", 0, 28, 0, 1, 6, 35
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\routeOptimizationRoutes.js", "JavaScript", 0, 10, 0, 2, 4, 16
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\settingsRoutes.js", "JavaScript", 0, 7, 0, 1, 3, 11
"c:\Users\Asus\Downloads\BackendFlutterApp\routes\userRoutes.js", "JavaScript", 0, 164, 0, 39, 31, 234
"c:\Users\Asus\Downloads\BackendFlutterApp\server.js", "JavaScript", 0, 617, 0, 101, 142, 860
"c:\Users\Asus\Downloads\BackendFlutterApp\test-delivery-controller.js", "JavaScript", 0, 4, 0, 1, 3, 8
"c:\Users\Asus\Downloads\BackendFlutterApp\test-user-controller.js", "JavaScript", 0, 4, 0, 1, 3, 8
"c:\Users\Asus\Downloads\BackendFlutterApp\utils\generateToken.js", "JavaScript", 0, 7, 0, 0, 3, 10
"Total", "-", 5, 5046, 2877, 633, 899, 9460